time_sec,rss_mb,gpu_alloc_mb,gpu_reserved_mb,win_slope_mb_min,total_slope_mb_min
0.00,311.88,0.00,0.00,0.0000,0.0000
30.09,4518.73,2.12,4.00,8388.1021,8388.1021
60.14,6258.35,2.12,4.00,5933.5003,5932.8789
0.00,312.48,0.00,0.00,0.0000,0.0000
30.04,4565.36,2.12,4.00,8495.5442,8495.5442
60.30,5998.70,2.12,4.00,5654.8219,5658.3189
90.71,7462.81,2.12,4.00,4537.2086,4729.7132
120.96,9052.68,2.12,4.00,4038.6401,4335.5546
151.15,10560.32,2.12,4.00,3747.7548,4067.8241
181.37,12027.79,2.12,4.00,3554.5861,3875.5100
211.39,13503.48,2.12,4.00,3424.1617,3744.1074
241.42,15032.54,2.12,4.00,2979.4072,3658.3877
271.59,16555.91,2.12,4.00,2996.7792,3588.5753
301.97,18028.25,2.12,4.00,2993.5075,3520.0039
332.31,19540.68,2.12,4.00,2980.0366,3471.7283
362.35,21022.51,2.12,4.00,2979.8728,3429.3165
392.57,22545.12,2.12,4.00,2985.8277,3398.0031
422.87,24115.64,2.12,4.00,2995.7547,3377.3341
0.00,312.16,0.00,0.00,0.0000,0.0000
30.14,4589.23,5.30,8.00,8514.3770,8514.3770
60.54,6051.06,5.30,8.00,5683.2454,5687.3347
90.58,7477.23,5.30,8.00,4558.6125,4746.1122
120.60,8365.05,5.30,8.00,3779.1818,4006.2734
150.69,9320.60,5.30,8.00,3288.6118,3586.9175
180.74,10168.20,5.30,8.00,2942.5290,3271.9196
0.00,332.50,0.00,0.00,0.0000,0.0000
0.00,331.91,0.00,0.00,0.0000,0.0000
32.19,2273.66,2.12,4.00,3619.8595,3619.8595
0.00,312.32,0.00,0.00,0.0000,0.0000
30.02,4489.37,5.30,8.00,8349.8132,8349.8132
60.17,5898.03,5.30,8.00,5567.3457,5569.5470
90.21,7164.00,5.30,8.00,4380.8027,4557.3943
0.00,332.78,0.00,0.00,0.0000,0.0000
30.05,2177.19,2.12,4.00,3683.0160,3683.0160
63.71,2443.09,2.12,4.00,1957.0987,1987.3411
114.67,2615.64,2.12,4.00,1047.8954,1194.5360
162.26,2531.65,2.12,4.00,647.4118,813.0808
193.36,2715.30,2.12,4.00,525.0545,739.3038
0.00,332.07,0.00,0.00,0.0000,0.0000
33.75,2188.10,2.12,4.00,3299.8015,3299.8015
0.00,311.66,0.00,0.00,0.0000,0.0000
30.04,4475.41,5.30,8.00,8317.6079,8317.6079
60.07,5858.74,5.30,8.00,5540.8056,5540.7597
0.00,311.96,0.00,0.00,0.0000,0.0000
0.00,332.80,0.00,0.00,0.0000,0.0000
45.47,2091.36,2.12,4.00,2320.4657,2320.4657
0.00,311.86,0.00,0.00,0.0000,0.0000
30.03,4480.04,5.30,8.00,8326.8256,8326.8256
0.00,333.64,0.00,0.00,0.0000,0.0000
0.00,333.14,0.00,0.00,0.0000,0.0000
0.00,332.45,0.00,0.00,0.0000,0.0000
0.00,331.66,0.00,0.00,0.0000,0.0000
30.43,2094.72,2.12,4.00,3475.9483,3475.9483
0.00,332.02,0.00,0.00,0.0000,0.0000
0.00,332.26,0.00,0.00,0.0000,0.0000
30.32,2343.30,2.12,4.00,3979.4913,3979.4913
0.00,311.80,0.00,0.00,0.0000,0.0000
0.00,310.94,0.00,0.00,0.0000,0.0000
0.00,311.83,0.00,0.00,0.0000,0.0000
30.03,3078.41,5.33,8.00,5527.4430,5527.4430
